,agentId,runtimeEnvironmentId,startedBy,executionState,successTargetRows,type,failedSourceRows,errorMsg,successSourceRows,entries,objectName,failedTargetRows,taskName,startTime,id,runId,runContextType,taskId,scheduleName
0,001Q1O0800000000000B,001Q1O2500000000000S,daxesh.thakar-prod@teradata.com,RUNNING,0,MTT,0,"TT_11132 Transformation [EXP_Incremental_logic] had an error evaluating output
            column [o_CreatedDate]. Error message is [<<Expression Error>> [TO_DATE]:
            invalid string for converting to Date ... t:TO_DATE(u:'0122K000001DjSeQAK',u:'MM/DD/YYYY
            HH24:MI:SS')]. ",9929,,,0,mct_SFDC_to_SNOW_Service_Entitlement_Category_TeradataVantage_Incremental_Tbl_Lkp,2020-10-09T23:13:11.000Z,001Q1O0E00000004H76X,309,REST_API_V2,001Q1O0Z0000000002VS,
1,001Q1O0800000000000B,001Q1O2500000000000S,app_int_wsconsumer_wd-prd,RUNNING,0,MTT,0,No errors encountered.,21011,,,0,mt_m_TD_CSF_USABLE_QUANTITIES_V,2020-10-11T02:15:05.000Z,001Q1O0E00000004HR58,1101,REST_API_V2,001Q1O0Z00000000032K,
2,,,teradata.edw-prod@teradata.com,RUNNING,6048,WORKFLOW,0,,6046,"
            ",,0,IDW_MKTG_RTIM_tf_attendee_registration_COR_LD,2020-10-11T02:00:36.000Z,001Q1O0E00000004HRFT,7685,REST_API_V2,001Q1O0N0000000000H1,
3,,,teradata.edw-prod@teradata.com,RUNNING,20582940,WORKFLOW,0,,20582940,"
            ",,0,TRANSCEND_PS_SFDC_FF_tf_pse__transaction__c_RAW_STG,2020-10-11T03:00:16.000Z,001Q1O0E00000004HRP7,17,REST_API_V2,001Q1O0N0000000000W6,
4,,,,RUNNING,0,WORKFLOW,0,,0,"
            ",,0,tf_SimplifyCSS_Events_Axeda_to_SNOW_tviheartbeat,2020-10-11T03:45:05.000Z,001Q1O0E00000004HRR0,37379,SCHEDULER,001Q1O0N0000000000S2,APP_INTEGRATION_SCHEDULE_Runs_Every_5_minutes
5,,,teradata.edw-prod@teradata.com,RUNNING,99800,WORKFLOW,0,,99800,"
            ",,0,TRANSCEND_PS_SFDC_FF_tf_processinstancenode_RAW_STG,2020-10-11T03:45:08.000Z,001Q1O0E00000004HRRD,40,REST_API_V2,001Q1O0N0000000000VN,
6,,,teradata.edw-prod@teradata.com,RUNNING,56,WORKFLOW,0,,56,"
            ",,0,TRANSCEND_CS_ENG_SN_SYSCFG_tf_u_cmdb_ci_ethernet_switch_TMP,2020-10-11T03:45:10.000Z,001Q1O0E00000004HRRF,131,REST_API_V2,001Q1O0N0000000000QZ,
7,,,,RUNNING,0,WORKFLOW,0,,0,"
            ",,0,tf_SimplifyCSS_Files_delete,2020-10-11T03:00:04.000Z,001Q1O0E00000004HRWC,130,SCHEDULER,001Q1O0N0000000000S5,APP_INTEGRATION_SCHEDULE_Runs_Daily_12am
8,001Q1O0800000000000B,001Q1O2500000000000S,naresh.arora-prod@teradata.com,RUNNING,0,MTT,0,No errors encountered.,15746,,,0,mt_SimplifyCSS_ReportDDB_Attachment_Upload,2020-10-11T03:40:00.000Z,001Q1O0E00000004HS2N,2252,REST_API_V2,001Q1O0Z0000000003G2,
9,,,,RUNNING,159,WORKFLOW,0,,159,"
            ",,0,tf_SimplifyCSS_Transcend_TSA_SHC,2020-10-11T03:45:02.000Z,001Q1O0E00000004HS82,31483,SCHEDULER,001Q1O0N0000000000SQ,APP_INTEGRATION_SCHEDULE_Runs_Every_5_minutes
